date,meal,calories_kcal,protein_g,carbohydrates_g,fat_g,fiber_g,sugar_g,sodium_mg,water_ml,food_notes
2024-10-05,Breakfast,491,34.4,55.3,14.7,7.1,8.5,419,576,
2024-10-05,Lunch,708,49.6,79.7,21.2,10.3,12.2,605,831,
2024-10-05,Dinner,786,55.1,88.5,23.6,11.4,13.5,671,923,
2024-10-05,Snacks,230,16.1,25.9,6.9,3.3,4.0,196,270,
2024-10-06,Breakfast,479,33.6,53.9,14.4,5.0,8.8,263,484,
2024-10-06,Lunch,925,64.8,104.1,27.7,9.7,17.0,508,934,
2024-10-06,Dinner,683,47.8,76.9,20.5,7.2,12.5,375,690,
2024-10-06,Snacks,288,20.2,32.4,8.6,3.0,5.3,158,291,
2024-10-07,Breakfast,617,43.2,69.4,18.5,9.9,12.7,402,642,
2024-10-07,Lunch,850,59.5,95.7,25.5,13.6,17.5,555,885,
2024-10-07,Dinner,761,53.3,85.6,22.8,12.2,15.7,497,792,
2024-10-07,Snacks,192,13.5,21.6,5.8,3.1,4.0,125,200,
2024-10-08,Lunch,543,38.0,61.1,16.3,6.6,10.1,408,463,
2024-10-08,Dinner,640,44.8,72.0,19.2,7.8,11.9,480,545,
2024-10-08,Snacks,395,27.6,44.4,11.8,4.8,7.3,296,337,
2024-10-09,Breakfast,550,38.5,61.9,16.5,5.9,11.6,474,506,
2024-10-09,Lunch,836,58.5,94.1,25.1,8.9,17.7,721,769,
2024-10-09,Dinner,771,54.0,86.7,23.1,8.2,16.3,664,709,
2024-10-09,Snacks,253,17.7,28.5,7.6,2.7,5.3,218,233,
2024-10-10,Breakfast,666,46.6,75.0,20.0,8.3,9.2,392,776,
2024-10-10,Lunch,1159,81.2,130.5,34.8,14.4,16.1,682,1350,
2024-10-10,Dinner,613,42.9,69.0,18.4,7.6,8.5,361,714,
2024-10-10,Snacks,277,19.4,31.1,8.3,3.4,3.8,163,322,
2024-10-11,Breakfast,516,36.1,58.1,15.5,6.8,10.3,462,449,
2024-10-11,Lunch,867,60.7,97.5,26.0,11.4,17.3,777,754,
2024-10-11,Dinner,599,41.9,67.4,18.0,7.9,12.0,537,521,
2024-10-11,Snacks,120,8.4,13.5,3.6,1.6,2.4,108,105,
2024-10-12,Breakfast,642,44.9,72.2,19.2,8.4,11.7,529,639,
2024-10-12,Lunch,795,55.7,89.4,23.9,10.4,14.5,656,792,
2024-10-12,Dinner,737,51.6,82.9,22.1,9.6,13.5,608,734,
2024-10-12,Snacks,191,13.4,21.5,5.7,2.5,3.5,158,190,
2024-10-13,Lunch,916,64.1,103.0,27.5,11.3,22.6,765,892,
2024-10-13,Dinner,629,44.1,70.8,18.9,7.7,15.5,526,613,
2024-10-13,Snacks,215,15.1,24.2,6.5,2.6,5.3,180,209,
2024-10-14,Breakfast,401,28.1,45.2,12.0,7.2,11.6,319,521,
2024-10-14,Lunch,693,48.5,77.9,20.8,12.5,20.0,550,899,
2024-10-14,Dinner,420,29.4,47.3,12.6,7.6,12.2,334,546,
2024-10-14,Snacks,188,13.2,21.2,5.6,3.4,5.4,149,244,
2024-10-15,Lunch,765,53.6,86.1,22.9,13.9,16.7,723,1010,
2024-10-15,Dinner,548,38.3,61.6,16.4,9.9,11.9,518,723,
2024-10-15,Snacks,101,7.1,11.3,3.0,1.8,2.2,95,133,
2024-10-16,Breakfast,722,50.5,81.2,21.7,7.2,8.4,465,570,
2024-10-16,Lunch,1015,71.1,114.2,30.5,10.2,11.8,654,801,
2024-10-16,Dinner,914,64.0,102.8,27.4,9.1,10.6,589,721,
2024-10-16,Snacks,172,12.1,19.4,5.2,1.7,2.0,111,136,
2024-10-17,Breakfast,637,44.6,71.7,19.1,6.8,16.9,388,611,
2024-10-17,Lunch,796,55.7,89.5,23.9,8.6,21.1,485,763,
2024-10-17,Dinner,793,55.6,89.3,23.8,8.5,21.1,483,760,
2024-10-17,Snacks,202,14.2,22.8,6.1,2.2,5.4,123,194,
2024-10-19,Breakfast,462,32.3,51.9,13.8,7.1,10.9,440,510,
2024-10-19,Lunch,630,44.1,70.9,18.9,9.7,14.8,601,695,
2024-10-19,Dinner,601,42.1,67.6,18.0,9.2,14.1,573,663,
2024-10-19,Snacks,205,14.4,23.1,6.2,3.2,4.8,196,227,
2024-10-20,Breakfast,730,51.1,82.1,21.9,10.7,8.3,731,653,
2024-10-20,Lunch,721,50.5,81.1,21.6,10.5,8.2,721,645,
2024-10-20,Dinner,684,47.9,77.0,20.5,10.0,7.7,684,612,
2024-10-20,Snacks,344,24.1,38.7,10.3,5.0,3.9,345,308,
2024-10-21,Breakfast,623,43.6,70.1,18.7,4.9,14.6,625,548,
2024-10-21,Lunch,615,43.1,69.2,18.4,4.9,14.4,617,541,
2024-10-21,Dinner,730,51.1,82.1,21.9,5.8,17.1,733,642,
2024-10-21,Snacks,128,9.0,14.4,3.8,1.0,3.0,128,113,
2024-10-22,Breakfast,598,41.8,67.2,17.9,5.7,10.0,437,671,
2024-10-22,Lunch,999,69.9,112.3,30.0,9.5,16.6,730,1122,
2024-10-22,Dinner,536,37.5,60.3,16.1,5.1,8.9,392,602,
2024-10-22,Snacks,201,14.1,22.6,6.0,1.9,3.4,147,226,
2024-10-23,Breakfast,564,39.5,63.4,16.9,6.1,8.2,433,533,
2024-10-23,Lunch,959,67.2,108.0,28.8,10.4,14.0,738,907,
2024-10-23,Dinner,750,52.5,84.3,22.5,8.1,10.9,576,709,
2024-10-23,Snacks,349,24.5,39.3,10.5,3.8,5.1,269,330,
2024-10-24,Breakfast,716,50.2,80.6,21.5,8.4,13.2,454,722,
2024-10-24,Lunch,862,60.3,96.9,25.9,10.1,15.8,545,868,
2024-10-24,Dinner,932,65.3,104.9,28.0,10.9,17.1,590,940,
2024-10-24,Snacks,496,34.7,55.8,14.9,5.8,9.1,314,500,
2024-10-25,Breakfast,720,50.4,81.0,21.6,9.9,12.7,750,739,
2024-10-25,Lunch,688,48.2,77.5,20.6,9.4,12.1,717,707,
2024-10-25,Snacks,239,16.7,26.9,7.2,3.3,4.2,249,245,
2024-10-26,Breakfast,536,37.5,60.3,16.1,4.3,11.4,387,553,
2024-10-26,Lunch,876,61.3,98.5,26.3,7.0,18.6,633,903,
2024-10-26,Dinner,728,51.0,81.9,21.8,5.8,15.5,527,751,
2024-10-26,Snacks,184,12.9,20.7,5.5,1.5,3.9,133,190,
2024-10-27,Breakfast,605,42.3,68.0,18.1,7.2,9.0,424,631,
2024-10-27,Lunch,1043,73.0,117.4,31.3,12.4,15.6,732,1088,
2024-10-27,Dinner,732,51.2,82.3,22.0,8.7,10.9,514,763,
2024-10-27,Snacks,257,18.0,28.9,7.7,3.0,3.8,180,268,
2024-10-28,Breakfast,396,27.7,44.6,11.9,4.2,5.8,347,399,
2024-10-28,Lunch,959,67.1,107.9,28.8,10.3,14.0,839,966,
2024-10-28,Dinner,705,49.4,79.3,21.1,7.6,10.3,617,710,
2024-10-28,Snacks,197,13.8,22.2,5.9,2.1,2.9,173,199,
2024-10-29,Breakfast,371,26.0,41.7,11.1,4.0,2.2,277,275,
2024-10-29,Lunch,805,56.4,90.6,24.2,8.7,4.8,600,596,
2024-10-29,Dinner,786,55.0,88.4,23.6,8.5,4.7,586,582,
2024-10-29,Snacks,332,23.3,37.4,10.0,3.6,2.0,248,246,
2024-10-30,Breakfast,491,34.4,55.3,14.7,6.2,9.6,338,484,
2024-10-30,Lunch,887,62.1,99.8,26.6,11.3,17.2,610,874,
2024-10-30,Dinner,772,54.0,86.8,23.2,9.8,15.0,531,760,
2024-10-30,Snacks,137,9.6,15.4,4.1,1.7,2.7,94,135,
2024-10-31,Breakfast,501,35.1,56.4,15.0,6.5,6.9,437,592,
2024-10-31,Lunch,803,56.2,90.4,24.1,10.5,11.0,700,948,
2024-10-31,Dinner,630,44.1,70.8,18.9,8.2,8.6,548,743,
2024-10-31,Snacks,110,7.7,12.4,3.3,1.4,1.5,96,130,
2024-11-01,Breakfast,552,38.6,62.1,16.5,8.2,12.1,543,770,
2024-11-01,Lunch,857,60.0,96.4,25.7,12.8,18.8,843,1196,
2024-11-01,Dinner,667,46.7,75.0,20.0,10.0,14.7,657,931,
2024-11-01,Snacks,197,13.8,22.1,5.9,2.9,4.3,194,275,
2024-11-02,Breakfast,618,43.2,69.5,18.5,8.8,13.3,500,481,
2024-11-02,Lunch,828,58.0,93.2,24.8,11.8,17.9,670,645,
2024-11-02,Dinner,727,50.9,81.8,21.8,10.4,15.7,588,567,
2024-11-02,Snacks,405,28.4,45.6,12.2,5.8,8.8,328,316,
2024-11-04,Breakfast,601,42.1,67.6,18.0,9.8,6.6,489,804,
2024-11-04,Lunch,890,62.3,100.2,26.7,14.5,9.9,725,1192,
2024-11-04,Dinner,581,40.7,65.3,17.4,9.5,6.4,473,777,
2024-11-05,Breakfast,473,33.1,53.2,14.2,5.9,8.9,558,649,
2024-11-05,Lunch,543,38.0,61.0,16.3,6.8,10.2,640,744,
2024-11-05,Dinner,702,49.1,78.9,21.1,8.8,13.2,828,962,
2024-11-05,Snacks,209,14.6,23.5,6.3,2.6,3.9,247,286,
2024-11-06,Breakfast,527,36.9,59.3,15.8,7.5,9.0,270,616,
2024-11-06,Lunch,725,50.8,81.6,21.8,10.3,12.4,372,848,
2024-11-06,Dinner,871,61.0,97.9,26.1,12.4,14.9,446,1018,
2024-11-06,Snacks,114,8.0,12.8,3.4,1.6,2.0,58,133,
2024-11-07,Breakfast,647,45.3,72.8,19.4,8.8,12.8,500,717,
2024-11-07,Lunch,718,50.2,80.8,21.5,9.8,14.2,555,795,
2024-11-07,Dinner,708,49.6,79.7,21.2,9.6,14.0,547,784,
2024-11-07,Snacks,225,15.7,25.3,6.7,3.1,4.5,174,249,
2024-11-08,Lunch,703,49.2,79.1,21.1,11.2,15.2,763,579,
2024-11-08,Snacks,195,13.6,21.9,5.9,3.1,4.2,212,161,
2024-11-09,Breakfast,537,37.6,60.4,16.1,6.0,10.7,421,605,
2024-11-09,Lunch,829,58.0,93.2,24.9,9.2,16.5,649,932,
2024-11-09,Dinner,753,52.7,84.7,22.6,8.3,15.0,590,848,
2024-11-09,Snacks,349,24.4,39.3,10.5,3.9,7.0,273,393,
2024-11-10,Breakfast,494,34.6,55.5,14.8,6.6,4.3,300,542,
2024-11-10,Lunch,732,51.3,82.4,22.0,9.8,6.4,445,804,
2024-11-10,Dinner,889,62.3,100.0,26.7,12.0,7.8,540,976,
2024-11-10,Snacks,243,17.0,27.4,7.3,3.3,2.1,148,267,
2024-11-11,Breakfast,500,35.0,56.2,15.0,4.9,3.8,459,438,
2024-11-11,Lunch,865,60.6,97.4,26.0,8.5,6.6,795,759,
2024-11-11,Dinner,761,53.3,85.6,22.8,7.5,5.8,699,667,
2024-11-12,Breakfast,840,58.8,94.4,25.2,9.4,12.6,628,768,
2024-11-12,Lunch,848,59.3,95.4,25.4,9.5,12.8,634,775,
2024-11-12,Dinner,854,59.8,96.1,25.6,9.6,12.9,639,781,
2024-11-13,Breakfast,573,40.1,64.5,17.2,6.9,11.7,497,526,
2024-11-13,Dinner,671,47.0,75.5,20.1,8.1,13.7,583,615,
2024-11-13,Snacks,162,11.3,18.2,4.9,1.9,3.3,140,148,
2024-11-14,Breakfast,673,47.1,75.7,20.2,7.7,10.9,619,637,
2024-11-14,Lunch,821,57.5,92.4,24.6,9.4,13.3,755,777,
2024-11-14,Dinner,702,49.1,79.0,21.1,8.0,11.3,645,664,
2024-11-14,Snacks,282,19.7,31.7,8.5,3.2,4.5,259,267,
2024-11-15,Breakfast,502,35.1,56.5,15.1,4.3,8.9,383,507,
2024-11-15,Lunch,787,55.1,88.5,23.6,6.8,13.9,600,794,
2024-11-15,Dinner,842,58.9,94.7,25.3,7.3,14.9,642,850,
2024-11-15,Snacks,389,27.2,43.7,11.7,3.4,6.9,296,392,
2024-11-16,Breakfast,565,39.5,63.6,16.9,7.4,3.3,305,560,
2024-11-16,Lunch,630,44.1,70.9,18.9,8.3,3.7,340,624,
2024-11-16,Dinner,797,55.8,89.7,23.9,10.5,4.7,431,790,
2024-11-16,Snacks,362,25.4,40.8,10.9,4.8,2.1,196,359,
2024-11-17,Lunch,741,51.8,83.3,22.2,12.1,15.6,692,766,
2024-11-17,Dinner,792,55.5,89.1,23.8,12.9,16.7,740,819,
2024-11-17,Snacks,146,10.2,16.5,4.4,2.4,3.1,137,151,
2024-11-18,Breakfast,459,32.1,51.6,13.8,5.9,9.4,433,524,
2024-11-18,Lunch,681,47.6,76.6,20.4,8.8,13.9,643,777,
2024-11-18,Dinner,751,52.6,84.5,22.5,9.7,15.4,710,858,
2024-11-18,Snacks,233,16.3,26.2,7.0,3.0,4.8,220,266,
2024-11-19,Breakfast,838,58.6,94.2,25.1,10.1,8.4,685,850,
2024-11-19,Lunch,812,56.8,91.4,24.4,9.8,8.2,664,824,
2024-11-19,Dinner,761,53.3,85.7,22.8,9.2,7.7,622,773,
2024-11-19,Snacks,130,9.1,14.7,3.9,1.6,1.3,106,132,
2024-11-20,Breakfast,740,51.8,83.2,22.2,7.8,10.8,396,636,
2024-11-20,Lunch,906,63.4,101.9,27.2,9.5,13.2,485,780,
2024-11-20,Dinner,799,56.0,89.9,24.0,8.4,11.6,428,688,
2024-11-20,Snacks,408,28.6,45.9,12.2,4.3,5.9,218,351,
2024-11-21,Breakfast,486,34.0,54.7,14.6,5.0,7.0,319,371,
2024-11-21,Lunch,761,53.2,85.6,22.8,7.8,10.9,499,580,
2024-11-21,Snacks,124,8.7,13.9,3.7,1.3,1.8,81,95,
2024-11-22,Breakfast,578,40.5,65.0,17.3,7.1,11.7,455,535,
2024-11-22,Lunch,816,57.1,91.8,24.5,10.0,16.5,642,756,
2024-11-22,Dinner,685,48.0,77.1,20.5,8.4,13.8,539,634,
2024-11-22,Snacks,110,7.7,12.4,3.3,1.3,2.2,86,102,
2024-11-23,Breakfast,469,32.8,52.8,14.1,7.4,11.7,301,533,
2024-11-23,Lunch,764,53.5,85.9,22.9,12.1,19.0,491,869,
2024-11-23,Dinner,706,49.4,79.4,21.2,11.2,17.6,453,802,
2024-11-23,Snacks,145,10.2,16.3,4.4,2.3,3.6,93,165,
2024-11-24,Breakfast,626,43.8,70.4,18.8,9.3,7.4,511,590,
2024-11-24,Lunch,815,57.1,91.7,24.5,12.1,9.6,665,768,
2024-11-24,Dinner,750,52.5,84.4,22.5,11.1,8.9,612,707,
2024-11-24,Snacks,353,24.7,39.7,10.6,5.2,4.2,288,333,
2024-11-25,Breakfast,574,40.2,64.5,17.2,5.4,8.8,359,545,
2024-11-25,Lunch,812,56.8,91.4,24.4,7.7,12.5,508,772,
2024-11-25,Dinner,825,57.8,92.8,24.8,7.8,12.7,516,785,
2024-11-25,Snacks,279,19.5,31.4,8.4,2.7,4.3,175,265,
2024-11-26,Breakfast,445,31.1,50.1,13.4,3.2,8.3,256,406,
2024-11-26,Lunch,960,67.2,108.0,28.8,7.0,17.9,553,875,
2024-11-26,Snacks,255,17.9,28.7,7.7,1.9,4.8,147,233,
2024-11-27,Breakfast,602,42.1,67.8,18.1,5.9,7.7,353,435,
2024-11-27,Lunch,776,54.3,87.4,23.3,7.6,9.9,455,561,
2024-11-27,Dinner,780,54.6,87.7,23.4,7.7,9.9,457,563,
2024-11-27,Snacks,152,10.6,17.1,4.6,1.5,1.9,89,110,
2024-11-28,Breakfast,621,43.5,69.9,18.6,7.4,9.9,579,644,
2024-11-28,Lunch,740,51.8,83.2,22.2,8.8,11.7,689,766,
2024-11-28,Dinner,625,43.8,70.4,18.8,7.4,9.9,583,648,
2024-11-28,Snacks,250,17.5,28.1,7.5,3.0,4.0,233,259,
2024-11-29,Breakfast,614,42.9,69.0,18.4,9.1,10.1,337,620,
2024-11-29,Lunch,706,49.4,79.5,21.2,10.5,11.6,388,714,
2024-11-29,Dinner,632,44.2,71.1,18.9,9.4,10.4,347,639,
2024-11-29,Snacks,237,16.6,26.7,7.1,3.5,3.9,130,240,
