student_id,sleep_start_time,sleep_end_time,sleep_duration_hrs,sleep_needed_hrs,sleep_performance_pct,sleep_efficiency_pct,rem_sleep_hrs,sws_deep_sleep_hrs,light_sleep_hrs,awake_hrs,sleep_consistency_pct,respiratory_rate_rpm
S001,2024-09-26T21:50:00,2024-09-27T08:32:00,8.62,7.81,100,90.2,1.91,1.54,4.74,0.43,75.41120514,15.5
S001,2024-09-27T23:39:00,2024-09-28T06:17:00,8.57,8.05,100,81.7,1.48,1.82,4.71,0.55,76.21269195,15.9
S001,2024-09-28T23:43:00,2024-09-29T05:19:00,8.99,7.48,100,91,2.24,1.1,4.94,0.71,61.47333469,15.4
S001,2024-09-29T22:39:00,2024-09-30T05:19:00,7.03,8.08,87.1,86.3,1.8,1.42,3.46,0.35,63.15396043,14.9
S001,2024-09-30T23:50:00,2024-10-01T07:10:00,7.84,8.06,97.3,88.6,1.76,1.12,4.31,0.64,72.24954239,15
S001,2024-10-01T22:51:00,2024-10-02T08:17:00,8.4,8.46,99.3,81,2.38,2,3.6,0.42,62.7312688,15.7
S001,2024-10-02T21:23:00,2024-10-03T06:16:00,8.49,7.91,100,80.8,1.88,2.16,4.03,0.42,80.11285381,16
S001,2024-10-03T21:15:00,2024-10-04T05:30:00,6.75,7.91,85.4,85.4,1.48,1.2,3.71,0.36,54.28459726,17
S001,2024-10-04T21:20:00,2024-10-05T06:26:00,8.35,8.92,93.6,98.6,1.97,1.39,4.57,0.42,54.92215981,16.3
S001,2024-10-05T21:11:00,2024-10-06T06:51:00,7.58,8.24,92,81.1,2,1.67,3.53,0.38,68.33827232,15.8
S001,2024-10-06T22:00:00,2024-10-07T07:12:00,6.97,8.48,82.2,94.9,1.17,1.21,3.83,0.75,76.73447679,15.5
S001,2024-10-07T21:46:00,2024-10-08T06:09:00,8.65,7.98,100,83.5,1.28,2.24,4.7,0.43,84.31795163,15.8
S001,2024-10-08T23:24:00,2024-10-09T07:06:00,7.85,8.37,93.8,94.6,1.18,1.43,4.32,0.92,71.80325146,16.4
S001,2024-10-09T22:05:00,2024-10-10T05:58:00,9.17,7.11,100,95.4,2.22,1.62,4.88,0.46,74.69370778,17.1
S001,2024-10-10T23:52:00,2024-10-11T08:04:00,6.89,8.44,81.6,78.4,1.63,0.95,3.79,0.51,65.07961884,15.6
S001,2024-10-11T22:44:00,2024-10-12T07:20:00,7.7,7.89,97.6,85.3,1.54,1.97,3.81,0.39,63.62913421,15.9
S001,2024-10-12T22:26:00,2024-10-13T05:34:00,8.05,7.92,100,88.4,1.62,1.73,4.31,0.4,80.07979076,15
S001,2024-10-13T23:19:00,2024-10-14T05:13:00,8.47,7.57,100,90,1.95,1.41,4.66,0.45,77.49777844,15.3
S001,2024-10-14T21:01:00,2024-10-15T08:54:00,8.12,8.16,99.4,83.6,2.09,1.35,4.27,0.41,63.64236994,14.7
S001,2024-10-15T21:03:00,2024-10-16T06:08:00,8.05,8,100,94.7,1.83,1.28,4.43,0.51,75.8868751,16.5
S001,2024-10-16T21:12:00,2024-10-17T08:51:00,7.34,7.13,100,94.9,1.81,1.42,3.74,0.37,69.65065516,16.8
S001,2024-10-17T21:59:00,2024-10-18T08:52:00,8.59,8.17,100,83.3,2.26,1.65,4.25,0.43,69.75247708,15
S001,2024-10-18T21:02:00,2024-10-19T06:41:00,7.41,8.28,89.4,80,2.14,1.28,3.61,0.37,84.88175087,15.6
S001,2024-10-19T21:41:00,2024-10-20T06:40:00,8.29,7.87,100,87.3,1.79,1.67,4.42,0.41,87.02089041,15.8
S001,2024-10-20T23:32:00,2024-10-21T07:24:00,8.29,8.05,100,86.4,1.45,1.55,4.56,0.72,61.19453012,15.8
S001,2024-10-21T22:33:00,2024-10-22T07:49:00,7.91,7.92,99.9,87.2,1.84,1.19,4.35,0.54,64.45293737,15.5
S001,2024-10-22T21:36:00,2024-10-23T08:22:00,8,8.25,97,88.4,2.16,1.57,3.87,0.4,53.04045474,17.8
S001,2024-10-23T22:58:00,2024-10-24T05:45:00,7.19,8.14,88.4,91.9,1.39,1.72,3.72,0.36,63.09346707,14.2
S001,2024-10-24T22:11:00,2024-10-25T08:02:00,7.21,7.8,92.4,94.8,2.38,1.54,2.92,0.36,62.54089281,16.2
S001,2024-10-25T21:51:00,2024-10-26T06:21:00,8,8.1,98.8,95.2,2.47,1.44,3.68,0.4,66.45411352,14.3
S001,2024-10-26T23:55:00,2024-10-27T07:04:00,8.05,7.71,100,95.9,1.83,1.93,3.89,0.4,61.70929339,14.6
S001,2024-10-27T21:46:00,2024-10-28T08:50:00,8.65,7.85,100,89.7,1.84,1.73,4.64,0.43,63.11044087,15.2
S001,2024-10-28T23:37:00,2024-10-29T06:24:00,7.48,8.57,87.2,76.3,1.41,1.13,4.11,0.82,64.6131364,15.4
S001,2024-10-29T22:54:00,2024-10-30T05:11:00,8.52,8.45,100,95,2.66,1.27,4.16,0.43,50.36502283,14.9
S001,2024-10-30T21:22:00,2024-10-31T07:10:00,8.15,7.94,100,75.1,1.49,1.81,4.44,0.41,87.34405814,14.6
S001,2024-10-31T21:16:00,2024-11-01T06:15:00,6.83,8.26,82.7,80,1.47,0.98,3.76,0.62,68.10378323,15.2
S001,2024-11-01T22:31:00,2024-11-02T08:22:00,7.98,7.38,100,94.2,1.86,1.27,4.39,0.46,75.50096338,15.5
S001,2024-11-02T21:28:00,2024-11-03T05:51:00,7.73,7.21,100,89.5,1.43,1.01,4.25,1.04,77.67834273,15.3
S001,2024-11-03T23:57:00,2024-11-04T05:21:00,7.28,8.89,81.9,91.3,1.68,0.98,4.01,0.62,85.73009985,15
S001,2024-11-04T22:10:00,2024-11-05T05:06:00,7.42,7.9,93.9,88.2,1.8,1.27,3.98,0.37,56.1527681,17.5
S001,2024-11-05T21:03:00,2024-11-06T08:36:00,7.26,8.27,87.8,94.7,1.44,1.18,4,0.65,63.4669078,15
S001,2024-11-06T23:38:00,2024-11-07T08:12:00,7.62,8.03,94.9,88.2,2.16,1.67,3.41,0.38,78.70092202,16.1
S001,2024-11-07T23:16:00,2024-11-08T05:41:00,6.91,7.16,96.5,85.1,1.54,1.31,3.71,0.35,58.7828268,15.4
S001,2024-11-08T22:16:00,2024-11-09T06:53:00,7.71,8.29,93,84.2,1.47,1.47,4.24,0.53,71.50190091,16
S001,2024-11-09T23:14:00,2024-11-10T05:53:00,7.81,7.41,100,92.7,1.87,0.62,4.3,1.02,63.78932113,15.2
S001,2024-11-10T21:30:00,2024-11-11T07:05:00,8.2,8.6,95.4,86,2.2,1.31,4.28,0.41,53.41910073,16.6
S001,2024-11-11T22:11:00,2024-11-12T06:13:00,8.44,8.11,100,80.2,1.81,1.71,4.5,0.42,71.26700068,15.9
S001,2024-11-12T23:09:00,2024-11-13T07:20:00,7.56,6.94,100,96.3,0.76,1.77,4.16,0.88,94.52458402,15
S001,2024-11-13T21:50:00,2024-11-14T08:07:00,8.25,8.16,100,83.7,1.99,1.43,4.42,0.41,85.10498582,15.5
S001,2024-11-14T23:49:00,2024-11-15T05:50:00,7.95,7.43,100,82.7,2.42,1.16,3.97,0.4,68.65813363,16.6
S001,2024-11-15T22:25:00,2024-11-16T06:39:00,7.51,8.34,90.1,82.9,1.89,1.29,3.96,0.38,69.90285736,15
S001,2024-11-16T23:30:00,2024-11-17T07:57:00,7.31,8.81,83,91,1.5,1.5,3.94,0.37,64.41974056,16.3
S001,2024-11-17T21:08:00,2024-11-18T07:47:00,7.92,7.67,100,94.5,1.22,1.09,4.35,1.26,42.48766954,14.6
S001,2024-11-18T21:58:00,2024-11-19T08:47:00,8.13,7.95,100,94.2,1.66,1.3,4.47,0.7,57.60199045,15.9
S001,2024-11-19T23:56:00,2024-11-20T05:11:00,7.68,8.1,94.9,88.6,1.58,1.3,4.22,0.57,60.19521723,16.3
S001,2024-11-20T23:12:00,2024-11-21T07:23:00,8.69,8.16,100,84.1,1.16,1.77,4.78,0.97,78.34259565,15.1
S001,2024-11-21T22:37:00,2024-11-22T07:22:00,7.63,7.85,97.3,93.7,1.73,1.21,4.2,0.48,67.81963017,16.6
S001,2024-11-22T21:54:00,2024-11-23T06:54:00,8.71,8,100,78.8,1.84,1.9,4.53,0.44,73.53439779,16.3
S001,2024-11-23T22:58:00,2024-11-24T06:41:00,7.99,8.56,93.4,76,1.71,1.91,3.98,0.4,68.27496445,16.4
S001,2024-11-24T23:41:00,2024-11-25T07:27:00,8.6,8.09,100,96.1,2.4,1.36,4.41,0.43,90.56472192,15
S001,2024-11-25T21:32:00,2024-11-26T07:35:00,7.46,8.07,92.4,85.7,1.98,1.06,4.04,0.37,60.85317563,15.2
S001,2024-11-26T23:20:00,2024-11-27T07:16:00,7.25,7.94,91.3,90.7,2.39,1.64,2.85,0.36,55.53969299,14.4
S001,2024-11-27T23:25:00,2024-11-28T07:43:00,7.61,7.79,97.7,83.6,1.65,1.93,3.65,0.38,80.26945055,15.9
S001,2024-11-28T23:02:00,2024-11-29T06:21:00,7.89,7.67,100,88.1,2,1.24,4.25,0.39,70.75056405,15.3
S001,2024-11-29T23:56:00,2024-11-30T06:18:00,6.94,7.85,88.5,95.5,1.3,0.71,3.82,1.11,70.93461737,16.1
